VIAS DE ADQUISICIONES,MONOGRAFIAS,PUBLICACIONES SERIADAS,OTROS FORMATOS,TITULOS,EJEMPLARES,PROVEEDORES,SEMESTRE,A¥O
DEPOSITO LEGAL,201,106,119,426,2446,124,ENERO-JUNIO,2020
DONACIONES ENTRANTES,1204,62,0,1266,1880,30,ENERO-JUNIO,2020
DEPOSITO LEGAL,269,121,66,456,2605,112,JULIO-DICIEMBRE,2019
DONACIONES ENTRANTES,185,23,0,208,495,43,JULIO-DICIEMBRE,2019
COMPRA,155,0,0,155,724,1,JULIO-DICIEMBRE,2019
DEPOSITO LEGAL,610,673,63,1346,4078,165,ENERO-JUNIO,2019
DONACIONES ENTRANTES,1855,167,112,2134,2621,61,ENERO-JUNIO,2019
DONACIONES SALIENTES,93,4,19,116,177,3,ENERO-JUNIO,2019
COMPRA,88,0,0,78,252,5,ENERO-JUNIO,2019
DEPOSITO LEGAL,653,453,115,1221,4972,237,JULIO-DICIEMBRE,2018
COMPRA,175,0,0,175,480,1,JULIO-DICIEMBRE,2018
DONACIONES ENTRANTES,2482,137,17,2636,3107,78,JULIO-DICIEMBRE,2018
DEPOSITO LEGAL,782,122,804,1708,4139,34,ENERO-JUNIO,2018
DONACIONES ENTRANTES,1025,7,0,1032,1469,42,ENERO-JUNIO,2018
DONACIONES SALIENTES,31,1,0,32,32,2,ENERO-JUNIO,2018
COMPRA,32,0,0,32,39,1,ENERO-JUNIO,2018
SUSCRIPCION A BASE DE DATOS,24512,3647,0,28159,28159,1,ENERO-JUNIO,2018
